2600.0000 764 2600  Hello, this is
4440.0000 2600 4440  Jiawei Zhou from Harvard
6280.0000 4440 6280  University. I am very glad to present our
8120.0000 6280 8120  work on online semantic parsing
9960.0000 8120 9960  for latency reduction in
11800.0000 9960 11800  task-oriented dialogue. This is
13640.0000 11800 13640  joint work with Jason,
15480.0000 13640 15480  Michael, Anthony, and Sam from Microsoft
16240.0000 15480 16200  Semantic Machines.
20040.0000 18204 20040  In
21880.0000 20040 21880  task-oriented dialogue, a user
23720.0000 21880 23720  interacts with the system that handles
25560.0000 23720 25560  requests from user
27400.0000 25560 27400  utterances, usually in speaking.
29240.0000 27400 29240  From the finish of the user utterance to the
31080.0000 29240 31080  system response, there is
32120.0000 31080 32080  often a noticeable delay.
34080.0000 32252 34080  Under the
35920.0000 34080 35920  hood, the user utterance is
37760.0000 35920 37760  translated into an
39600.0000 37760 39600  executable program, which is then
41440.0000 39600 41440  executed so that the system can
43280.0000 41440 43280  respond properly. Here the
45120.0000 43280 45120  program is represented as a
46960.0000 45120 46960  semantic graph that outlines
48800.0000 46960 48800  the computation,
50640.0000 48800 50640  where a note represents a function
52480.0000 50640 52480  invocation and its children are the
54320.0000 52480 54320  arguments. The great notes mark
56160.0000 54320 56160  instantaneous operations, but
58000.0000 56160 58000  the others are slow to
59840.0000 58000 59840  execute. Note that unlike the
61680.0000 59840 61680  simple example here we show, these
63520.0000 61680 63520  programs can often be more
65360.0000 63520 65360  complicated graphs beyond
66080.0000 65360 66040  the tree structures.
68000.0000 66172 68000  In this
69840.0000 68000 69840  talk, we ask the
71640.0000 69840 71640  question, can we start generating the program
73480.0000 71640 73480  and executing it before
75320.0000 73480 75320  the user even finishes the
77160.0000 75320 77160  alterings so that the faster response
78400.0000 77160 78360  can be achieved by the system
80320.0000 78396 80200 ? This is an
82160.0000 80200 82040  online prediction and decision
84000.0000 82040 83880  problem. There are a lot of others in this
85840.0000 83880 85720  realm. Examples include
87680.0000 85720 87560  simultaneous translation,
89520.0000 87560 89400  where a live interpreter
91360.0000 89400 91240  translates one language to another in real
93200.0000 91240 93080  time, smart text
95040.0000 93080 94920  auto-completion to guess the user
96880.0000 94920 96760  intent, and
98720.0000 96760 98600  UberPool, where the drivers are sent to
100560.0000 98600 100440  where they might be needed based on the
102400.0000 100440 102280  predicted
104240.0000 102280 104120  demand. All of these scenarios have one thing in
106080.0000 104120 105960  common, that is, it is
107920.0000 105960 107800  beneficial to make decisions before
109760.0000 107800 109640  seeing all the
111600.0000 109640 111480  input. In our case, we are
113440.0000 111480 113320  going to deal with online semantic
115280.0000 113320 115160  parsing, which could be expected
117120.0000 115160 117000  to be
118960.0000 117000 118840  challenging, as we have to guess what the user might
120800.0000 118840 120680  say, and it is also
122640.0000 120680 122520  underexplored with no formal
